Mnemonics,US_RHPI_M,US_LBR_M
1-Jan-16,183.4,4.966666667
1-Feb-16,183.7,4.933333333
1-Mar-16,184,4.9
1-Apr-16,184.4,4.866666667
1-May-16,184.8,4.833333333
1-Jun-16,185.2,4.8
1-Jul-16,185.5666667,4.766666667
1-Aug-16,185.9333333,4.733333333
1-Sep-16,186.3,4.7
1-Oct-16,186.7,4.666666667
1-Nov-16,187.1,4.633333333
1-Dec-16,187.5,4.6
1-Jan-17,187.9,4.6
1-Feb-17,188.3,4.6
1-Mar-17,188.7,4.6
1-Apr-17,189.1,4.6
1-May-17,189.5,4.6
1-Jun-17,189.9,4.6
1-Jul-17,190.3,4.566666667
1-Aug-17,190.7,4.533333333
1-Sep-17,191.1,4.5
1-Oct-17,191.4666667,4.5
1-Nov-17,191.8333333,4.5
1-Dec-17,192.2,4.5
1-Jan-18,192.7,4.5
1-Feb-18,193.2,4.5
1-Mar-18,193.7,4.5
